Run!	Loop!
She forgot to feed the dog.	Se hett vergeten, den Hund Foder to geven.
She gave him a tender kiss.	Se geev em en Söten.
She got no answer from him.	Se hett keen Antwoord von em kregen.
She got the money from him.	Se hett dat Geld von em kregen.
She has a dog and six cats.	Se hett en Hund un söss Katten.
She has a good memory, too.	Se hett ook en behöllern Kopp.
She has a rose in her hand.	Se hett en Roos in ’e Hand.
She has no one to speak to.	Se hett nüms to ’n Snacken.
She held him by the sleeve.	Se höll em an ’n Mau fast.
She helped him tie his tie.	Se hett em hulpen, sien Slips to binnen.
She is lying about her age.	Se lüggt bi ehr Öller.
She is very fond of gossip.	Se sladdert temlich geern.
She makes her mother happy.	Se maakt ehr Moder blied.
She persuaded him to do it.	Se deed em övertügen, dat to doon.
She ran away with the eggs.	Se is mit de Eier utneiht.
She sent him a long letter.	Se hett em en langen Breev tostüürt.
She took care of his wound.	Se deed sien Wunn versorgen.
Soap helps remove the dirt.	Seep helpt gegen den Dreck.
That book is worth reading.	Dit Book is dat Lesen weerd.
That we are not able to do.	Dat köönt wi nich doon.
That's why he lost his job.	Dorüm hett he sien Arbeid verloren.
The King of France is bald.	De König von Frankriek hett en Platt.
The alarm clock is ringing.	De Wecker klingelt.
The baby is still sleeping.	Dat Baby slöppt noch.
The boys have found a coin.	De Jungs hebbt en Münt funnen.
The curtain caught on fire.	De Vörhang hett Füür fungen.
The dogs are in the garden.	De Hunnen sünd in ’n Goorn.
The engine would not start.	De Motoor wull nich starten.
The food wasn't that great.	Dat Eten weer nich so dull.
The fountain is over there.	De Born is dor achtern.
The heat is terrible today.	De Hitt vondaag is gresig.
The house is painted white.	Dat Huus is witt anstreken.
The job is almost finished.	De Arbeid is al meist trech.
The journey has just begun.	De Reis hett jüst anfungen.
The storm blew down a tree.	De Storm hett en Boom ümsmeten.
The wound started to bleed.	De Wunn füng dat Blöden an.
There's a party after work.	Dat gifft na ’e Arbeid en Party.
There's milk in the fridge.	In ’n Köhlschapp is Melk.
This is a strange sentence.	Dit is en snaakschen Satz.
This is also my first time.	Dat is ook mien eerst Maal.
This shoe is a size bigger.	Disse Schoh is een Grött grötter.
Today is a good day to die.	Vondaag is en goden Dag to ’n Starven.
Tom likes to play baseball.	Tom speelt geern Baseball.
We also went to the temple.	Wi sünd ook na ’n Tempel wesen.
We have to go to sleep now.	Wi mööt nu slapen gahn.
We were running to and fro.	Wi löpen op un dal.
We'll have to do something.	Wi mööt wat doon.
We're in need of some food.	Wi bruukt wat to eten.
What browser are you using?	Wat för ’n Nettkieker bruukst du?
What did you do last night?	Wat hest du vergangen Nacht maakt?
What did you do last night?	Wat hest du güstern Avend maakt?
What did you say yesterday?	Wat hest du güstern seggt?
What would you like to eat?	Wat wullt du geern eten?
What's in fashion in Paris?	Wat is in Paris Mood?
What's the meaning of that?	Wat bedüüdt dat?
What's your favorite novel?	Wat is dien leevsten Romaan?
When did you learn to swim?	Wannehr hest du swemmen lehrt?
Where did you go yesterday?	Woneem büst du güstern henwesen?
Where did you learn French?	Woneem hest du Franzöösch lehrt?
Where is the logic in that?	Wo blifft denn dor de Logik?
Where is the train station?	Woneem is de Bahnhoff?
Who is your favorite actor?	’Keen is dien leevsten Schauspeler?
Why don't you listen to me?	Worüm höörst du mi nich to?
Why don't you listen to me?	Worüm höörst du nich op mi?
Yesterday, I bought a book.	Güstern heff ik en Book köfft.
You know it better than me.	Du weetst dat beter as ik.
You must know that I snore.	Du musst weten, dat ik snurk.
You must start immediately.	Du musst stracks anfangen.
You put in too much pepper.	Du hest dor toveel Peper rindaan.
You're not a child anymore.	Du büst keen Kind mehr.
Young tigers resemble cats.	Junge Tigers seht ut as Katten.
Your father is pretty tall.	Dien Vader is temlich groot.
All of the balls are yellow.	All de Bäll sünd geel.
Americans eat a lot of meat.	Amerikaners eet veel Fleesch.
An elephant has a long nose.	En Elefant hett en lange Nees.
At first, I had no idea why.	Toeerst wüss ik noch worüm.
Beijing is bigger than Rome.	Peking is grötter as Room.
Bigger is not always better.	Grötter is nich jümmer beter.
Blood is thicker than water.	Blood is dicker as Water.
Chopin's music is beautiful.	Chopin sien Musik is wunnerschöön.
Dad is coming home tomorrow.	Papa kummt morgen na Huus.
Did you take a shower today?	Hest du di vondaag duuscht?
Do we need a world language?	Bruukt wi en Weltspraak?
Do you have enough blankets?	Hest du noog Deken?
Do you have time to help me?	Hest du Tied mi to helpen?
Do you like white chocolate?	Magst du witte Schokolaad?
Fasten the rope to the tree.	Maak dat Tau an ’n Boom fast.
France is in western Europe.	Frankriek liggt in Westeuropa.
Give me two pieces of chalk.	Geev mi twee Stücken Kried.
Gold is heavier than silver.	Gold is sworer as Sülver.
He came back after two days.	He keem na twee Daag trügg.
He couldn't do such a thing.	He kunn sowat nich doon.
He died from lack of oxygen.	He is ut Mangel an Suurstoff doodbleven.
He is like a frog in a well.	He is as en Pogg in en Pütt.
He is looking forward to it.	He freit sik dor al op.
He pretended to be a doctor.	He deed vörgeven, dat he en Dokter is.
He raises horses and cattle.	He tücht Peer un Rinner.
He slipped on a banana peel.	He is op de Schell von en Banaan utglippt.
He will come this afternoon.	He kummt vonnamiddag.
Her dream is to visit Paris.	Ehr Droom is Paris to besöken.
How many books does he have?	Woveel Böker hett he?
How old is your grandfather?	Wo oold is dien Opa?
I am leaving the books here.	Ik laat de Böker hier.
I bought it for ten dollars.	Ik heff dat för teihn Dollar köfft.
I broke my leg while skiing.	Bi ’t Skiföhren heff ik mi mien Been braken.
I don't know if he knows it.	Ik weet nich, wat he dat weet.
I have a shower every night.	Ik duusch elk Avend.
I have been to the barber's.	Ik bün na ’n Putzbüdel wesen.
I just remembered something.	Mi is jüst wat infullen.
I spent hours reading books.	Ik heff Stünnen mit Böker lesen tobröcht.
I told him about our school.	Ik heff em von uns School vertellt.
I took over my father's job.	Ik heff mien Vader sien Arbeid övernahmen.
I want to ask you something.	Ik will di wat fragen.
I want to eat pizza tonight.	Ik will vonavend Pizza eten.
I want to learn how to swim.	Ik will Swemmen lehren.
I will do anything but this.	Ik do allens, man dat nich.
I wrote a letter in English.	Ik heff en Breev op Engelsch schreven.
I'm older than your brother.	Ik bün öller as dien Broder.
Is it going to snow tonight?	Schall dat vonavend Snee geven?
Is there a cat on the table?	Sitt dor en Katt op ’n Disch?
It rained heavily yesterday.	Dat hett güstern dull regent.
It's just around the corner.	Dat is glieks achter de Eck.
Let's sit down on the bench.	Laat uns op de Bank sitten gahn.
Marble floors are beautiful.	Footboddens von Marmelsteen sünd wunnerschöön.
May I have a glass of water?	Kann ik en Glas Water hebben?
Maybe I should study German.	Villicht schull ik Düütsch lehren.
Maybe what you said is true.	Villicht is dat wohr, wat du seggt hest.
My brother plays the guitar.	Mien Broder speelt Gitarr.
My family is not that large.	Mien Famielje is nich so groot.
My father came home at nine.	Mien Vader is Klock negen na Huus kamen.
My favorite sport is soccer.	Mien leevsten Sport is Football.
My grandfather was a farmer.	Mien Opa weer Buur.
My mother has four brothers.	Mien Moder hett veer Bröder.
Our best friend is a doctor.	Uns best Fründ is en Dokter.
Our main office is in Osaka.	Uns Höövdkantoor is in Osaka.
Proverbs are full of wisdom.	Seggwöör sünd vull Wiesheid.
Put the car into the garage.	Stell dat Auto in ’e Garaasch.
She always dresses in black.	Se tütt sik jümmer swart an.
She cooks for him every day.	Se kaakt elk Dag för em.
She didn't even try to help.	Se hett nich maal versöcht to helpen.
She disappeared in the dark.	Se is in ’t Düüster verswunnen.
She first met him in Boston.	Se hett em toeerst in Boston drapen.
She gave him a lot of money.	Se geev em en Hümpel Geld.
She gave him his first kiss.	Se geev em sien eersten Kuss.
She gave me a kiss suddenly.	Se hett mi opmaal en Kuss geven.
She grabbed him by the hand.	Se deed em bi de Hand faten.
She greeted us with a smile.	Se deed uns mit en Smüüstern begröten.
She is peeling the potatoes.	Se schellt de Kartuffeln.
She killed him with a knife.	Se hett em mit en Kniev ümbröcht.
She kissed him on the cheek.	Se hett em op de Back küsst.
She slapped him in the face.	Se slöög em in ’t Gesicht.
She visited him once a year.	Se hett em jümmer een Maal in ’t Johr besöcht.
She visits him twice a year.	Se besöcht em twee Maal in ’t Johr.
She wants to meet him again.	Se will em wedderdrepen.
She was wearing a black hat.	Se deed en swarten Hoot dregen.
She went with him to Boston.	Se is mit em na Boston gahn.
She will give birth in July.	Se kriggt ehr Kind in ’n Juli.
She's inquisitive by nature.	Se is von Natur ut neeschierig.
Soldiers are used to danger.	Soldaten sünd Gefohr wennt.
Someone knocked on the door.	Een hett an de Döör kloppt.
Swimming is prohibited here.	Swemmen is hier verbaden.
The bill must be paid today.	De Reken mutt vondaag betahlt warrn.
The bill must be paid today.	De Tell mutt vondaag betahlt warrn.
The city was founded in 573.	De Stad is 573 grünnt worrn.
The gate is closed at eight.	Dat Door warrt Klock acht dichtmaakt.
The library is to the right.	De Bökeree is rechts.
The old man is above ninety.	De ole Mann is över negentig.
The picture is hung crooked.	Dat Bild hangt scheev.
The sky was completely dark.	De Heven weer ganz un gor düüster.
The whole world is watching.	De hele Welt kickt to.
There is no air on the moon.	Dat gifft keen Luft op ’n Maand.
They all burst out laughing.	Se pruuschen all opmaal loos.
They remained sitting there.	Se bleven dor sitten.
They went fishing yesterday.	Se sünd güstern angeln gahn.
This is too good to be true.	Dat is to good üm wohr to wesen.
This store sells vegetables.	De Laden verköfft Grööntüüg.
This water is safe to drink.	Dit Water kann ’n ahn Gefohr drinken.
Today I came to work by car.	Vondaag bün ik mit dat Auto na Arbeid kamen.
Tom is a university student.	Tom is Student.
Tom is deaf in the left ear.	Tom is op ’t linke Ohr doov.
Two times seven is fourteen.	Twee maal söven is veerteihn.
We flew across the Atlantic.	Wi sünd över ’n Atlantik flagen.
We have to close the window.	Wi mööt dat Finster dichtmaken.
We should've stayed at home.	Wi harrn tohuus blieven schullt.
We still have a lot of time.	Wi hebbt noch veel Tied.
We talked about many things.	Wi hebbt över veel Saken snackt.
We were very busy last week.	Wi harrn vörige Week veel to doon.
What are you doing that for?	Worüm deist du dat?
What are you doing tomorrow?	Wat maakst du morgen?
What caused you to be angry?	Worüm büst du gnatterig?
What languages do you speak?	Wat för Spraken snackst du?
What were you talking about?	Wo hest du över snackt?
What will we do if it rains?	Wat maakt wi, wenn dat Regen gifft?
What would I do without you?	Wat deed ik ahn di doon?
What's your favorite number?	Wat is dien leevste Tall?
What's your native language?	Wat is dien Moderspraak?
Where would you like to sit?	Woneem wullt du geern sitten?
Which browser are you using?	Wat för en Nettkieker bruukst du?
Why did you try to run away?	Worüm hest du versöcht uttoneihn?
Why did you try to run away?	Worüm hest du versöcht uttobüxen?
Why did you try to run away?	Worüm hest du versöcht wegtolopen?
Would you look after my cat?	Passt du op mien Katt op?
Write your name in capitals.	Schriev dien Naam in Grootbookstaven.
You are not a child anymore.	Du büst keen Kind mehr.
You have to clean your room.	Du musst dien Kamer oprümen.
You need to go to bed again.	Du musst wedder na Bedd gahn.
"She likes music." "So do I."	„Se mag Musik.“ „Ik ook.“
A bee flew out of the window.	En Imm flöög ut dat Finster.
All beginnings are difficult.	All Anfang is swoor.
All those flowers look alike.	All de Blomen seht egaal ut.
An uncle of mine is a doctor.	En Unkel von mi is Dokter.
Are you playing with my feet?	Speelst du mit mien Fööt rüm?
Can I pay with a credit card?	Kann ik mit Kreditkoort betahlen?
Daddy, may I go out and play?	Papa, dröff ik rutgahn un spelen?
Don't you have two computers?	Hest du nich twee Computers?
French is her first language.	Franzöösch is ehr Moderspraak.
French is her first language.	Fransch is ehr Moderspraak.
He does not have any friends.	He hett keen Frünnen.
He is a doctor by profession.	He is von Beroop Dokter.
He is twice as old as she is.	He is dubbelt so oold as se.
He is twice as old as she is.	He is dubbeld so oold as se.
He said he'd come and he did.	He seed, dat he kummt, un he hett dat daan.
He thinks only about himself.	He denkt bloots an sik sülvs.
He wanted to become a farmer.	He wull Buur warrn.
Her skin is as white as snow.	Ehr Huud is so witt as Snee.
Hitler assumed power in 1933.	Hitler is 1933 an ’e Macht kamen.
How far is it to the airport?	Wo wied is dat na ’n Flegerhaven?
How many books have you read?	Woveel Böker hest du leest?
How many mangoes do you want?	Woveel Mangos wullt du?
I bought my sister a new hat.	ik heff miene Süster en ne’en Hoot köfft.
I bought two bottles of milk.	Ik heff twee Buddels Melk köfft.
I can't answer your question.	Ik kann op dien Fraag nich antern.
I cut a branch from the tree.	Ik heff en Braken ut ’n Boom saagt.
I don't care much for coffee.	Ik mag Kaffe nich allto geern.
I don't drink that much beer.	Ik drink nich so veel Beer.
I don't have anything to say.	Ik heff nix to seggen.
I don't understand this poem.	Ik verstah dit Gedicht nich.
I helped my father yesterday.	Ik heff mien Vader güstern hulpen.
I never drink tea with lemon.	Ik drink nienich Tee mit Zitroon.
I only slept for three hours.	Ik heff man dree Stünnen slapen.
I read this in the newspaper.	Ik heff dat in ’t Daagbladd leest.
I saw the boy in brown shoes.	Ik heff den Jung mit brune Schoh sehn.
I want to travel to the moon.	Ik will na ’n Maand flegen.
I want you to read this book.	Ik harr geern, dat du dit Book leest.
I will speak to you tomorrow.	Ik snack morgen mit di.
I woke up with a sore throat.	Ik bün mit en sehr Strott opwaakt.
I wrote a long letter to her.	Ik heff ehr en langen Breev schreven.
I'm a little taller than you.	Ik bün en beten grötter as du.
